UZAName,Year,VRH,Category
"Anderson, IN",2011,31039,Non-Rail
"Anderson, IN",2012,33061,Non-Rail
"Ann Arbor, MI",2011,397646,Non-Rail
"Ann Arbor, MI",2012,419929,Non-Rail
"Ann Arbor, MI",2013,417407,Non-Rail
"Ann Arbor, MI",2014,438340,Non-Rail
"Ann Arbor, MI",2015,477211,Non-Rail
"Ann Arbor, MI",2016,537038,Non-Rail
"Ann Arbor, MI",2017,556433,Non-Rail
"Ann Arbor, MI",2018,581088,Non-Rail
"Ann Arbor, MI",2019,599777,Non-Rail
"Ann Arbor, MI",2020,419943,Non-Rail
"Ann Arbor, MI",2021,92643,Non-Rail
"Antioch, CA",2011,215560,Non-Rail
"Antioch, CA",2012,217611,Non-Rail
"Antioch, CA",2013,221656,Non-Rail
"Antioch, CA",2014,214896,Non-Rail
"Antioch, CA",2015,206785,Non-Rail
"Antioch, CA",2016,202506,Non-Rail
"Antioch, CA",2017,199454,Non-Rail
"Antioch, CA",2018,198830,Non-Rail
"Antioch, CA",2019,214675,Non-Rail
"Antioch, CA",2020,180474,Non-Rail
"Antioch, CA",2021,42336,Non-Rail
"Appleton, WI",2011,116158,Non-Rail
"Appleton, WI",2012,107695,Non-Rail
"Appleton, WI",2013,103993,Non-Rail
"Appleton, WI",2014,107944,Non-Rail
"Appleton, WI",2015,107452,Non-Rail
"Appleton, WI",2016,106739,Non-Rail
"Appleton, WI",2017,106658,Non-Rail
"Appleton, WI",2018,106895,Non-Rail
"Appleton, WI",2019,109719,Non-Rail
"Appleton, WI",2020,94990,Non-Rail
"Appleton, WI",2021,24434,Non-Rail
"Asheville, NC",2011,71342,Non-Rail
"Asheville, NC",2012,71118,Non-Rail
"Asheville, NC",2013,100529,Non-Rail
"Asheville, NC",2014,125790,Non-Rail
"Asheville, NC",2015,130132,Non-Rail
"Asheville, NC",2016,123074,Non-Rail
"Asheville, NC",2017,127156,Non-Rail
"Asheville, NC",2018,135399,Non-Rail
"Asheville, NC",2019,142956,Non-Rail
"Asheville, NC",2020,138954,Non-Rail
"Asheville, NC",2021,34229,Non-Rail
"Athens-Clarke County, GA",2011,189000,Non-Rail
"Athens-Clarke County, GA",2012,194419,Non-Rail
"Athens-Clarke County, GA",2013,199483,Non-Rail
"Athens-Clarke County, GA",2014,192673,Non-Rail
"Athens-Clarke County, GA",2015,191051,Non-Rail
"Athens-Clarke County, GA",2016,196756,Non-Rail
"Athens-Clarke County, GA",2017,185239,Non-Rail
"Athens-Clarke County, GA",2018,182880,Non-Rail
"Athens-Clarke County, GA",2019,192379,Non-Rail
"Athens-Clarke County, GA",2020,126774,Non-Rail
"Athens-Clarke County, GA",2021,24392,Non-Rail
"Atlanta, GA",2011,2777472,Non-Rail
"Atlanta, GA",2011,670996,Rail
"Atlanta, GA",2012,2845538,Non-Rail
"Atlanta, GA",2012,679376,Rail
"Atlanta, GA",2013,2766399,Non-Rail
"Atlanta, GA",2013,681094,Rail
