Row Labels,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,,,
"Cleveland, OH",665810,3227446,7151569,7911549,8019567,8885919,9047021,8982994,9321306,9096874,8432995,,"<tr><td>Cleveland, OH</td><td>8432995</td><td>9096874</td><td>9321306</td><td>8982994</td><td>9047021</td><td>8885919</td><td>8019567</td><td>7911549</td><td>7151569</td><td>3227446</td></tr>","{label: 'Cleveland, OH' , data: [8432995,9096874,9321306,8982994,9047021,8885919,8019567,7911549,7151569,3227446],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Dallas-Fort Worth-Arlington, TX",3617313,18173901,31411896,31485900,32612836,32280024,32951730,32680210,31572362,30750463,29360884,,"<tr><td>Dallas-Fort Worth-Arlington, TX</td><td>29360884</td><td>30750463</td><td>31572362</td><td>32680210</td><td>32951730</td><td>32280024</td><td>32612836</td><td>31485900</td><td>31411896</td><td>18173901</td></tr>","{label: 'Dallas-Fort Worth-Arlington, TX' , data: [29360884,30750463,31572362,32680210,32951730,32280024,32612836,31485900,31411896,18173901],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Denton-Lewisville, TX",24044,144246,387467,409667,481973,535630,558139,577440,519302,424617,214966,,"<tr><td>Denton-Lewisville, TX</td><td>214966</td><td>424617</td><td>519302</td><td>577440</td><td>558139</td><td>535630</td><td>481973</td><td>409667</td><td>387467</td><td>144246</td></tr>","{label: 'Denton-Lewisville, TX' , data: [214966,424617,519302,577440,558139,535630,481973,409667,387467,144246],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Denver-Aurora, CO",2806723,15418845,34296677,32941647,31595715,28902487,25518578,26363053,23773843,20639068,20694715,,"<tr><td>Denver-Aurora, CO</td><td>20694715</td><td>20639068</td><td>23773843</td><td>26363053</td><td>25518578</td><td>28902487</td><td>31595715</td><td>32941647</td><td>34296677</td><td>15418845</td></tr>","{label: 'Denver-Aurora, CO' , data: [20694715,20639068,23773843,26363053,25518578,28902487,31595715,32941647,34296677,15418845],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Detroit, MI",0,459537,2698599,3147354,3106791,2165351,2409894,2357520,2207333,2298841,0,,"<tr><td>Detroit, MI</td><td>0</td><td>2298841</td><td>2207333</td><td>2357520</td><td>2409894</td><td>2165351</td><td>3106791</td><td>3147354</td><td>2698599</td><td>459537</td></tr>","{label: 'Detroit, MI' , data: [0,2298841,2207333,2357520,2409894,2165351,3106791,3147354,2698599,459537],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"El Paso, TX-NM",0,68318,272976,70236,0,0,0,0,0,0,0,,"<tr><td>El Paso, TX-NM</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>0</td><td>70236</td><td>272976</td><td>68318</td></tr>","{label: 'El Paso, TX-NM' , data: [0,0,0,0,0,0,0,70236,272976,68318],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Hartford, CT",13968,157014,660477,597363,786870,828721,853591,934642,900501,624516,614089,,"<tr><td>Hartford, CT</td><td>614089</td><td>624516</td><td>900501</td><td>934642</td><td>853591</td><td>828721</td><td>786870</td><td>597363</td><td>660477</td><td>157014</td></tr>","{label: 'Hartford, CT' , data: [614089,624516,900501,934642,853591,828721,786870,597363,660477,157014],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Houston, TX",1721054,10633194,18409049,18806354,18808109,18228011,16489939,13300551,11279881,11387090,10787896,,"<tr><td>Houston, TX</td><td>10787896</td><td>11387090</td><td>11279881</td><td>13300551</td><td>16489939</td><td>18228011</td><td>18808109</td><td>18806354</td><td>18409049</td><td>10633194</td></tr>","{label: 'Houston, TX' , data: [10787896,11387090,11279881,13300551,16489939,18228011,18808109,18806354,18409049,10633194],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Jacksonville, FL",65811,273143,770189,843225,967826,1194221,1279008,1221092,1112360,945811,0,,"<tr><td>Jacksonville, FL</td><td>0</td><td>945811</td><td>1112360</td><td>1221092</td><td>1279008</td><td>1194221</td><td>967826</td><td>843225</td><td>770189</td><td>273143</td></tr>","{label: 'Jacksonville, FL' , data: [0,945811,1112360,1221092,1279008,1194221,967826,843225,770189,273143],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
"Johnstown, PA",0,22311,64541,53024,63613,58431,54881,62737,74055,95584,88460,,"<tr><td>Johnstown, PA</td><td>88460</td><td>95584</td><td>74055</td><td>62737</td><td>54881</td><td>58431</td><td>63613</td><td>53024</td><td>64541</td><td>22311</td></tr>","{label: 'Johnstown, PA' , data: [88460,95584,74055,62737,54881,58431,63613,53024,64541,22311],lineTension: 0,
                    backgroundColor: 'transparent',
                    borderColor: '#FF6550',
                    borderWidth: 4,
                    pointBackgroundColor: '#FF6550'},"
