UZAName,Year,Average of VOMS,Category
"Anchorage, AK",2019,45.05,Non-Rail
"Anchorage, AK",2019,19.33,Rail
"Anchorage, AK",2020,47.71,Non-Rail
"Anchorage, AK",2020,10.42,Rail
"Anchorage, AK",2021,44.56,Non-Rail
"Anchorage, AK",2021,6.67,Rail
"Anderson, IN",2011,5.50,Non-Rail
"Anderson, IN",2012,6.00,Non-Rail
"Ann Arbor, MI",2011,31.67,Non-Rail
"Ann Arbor, MI",2012,23.61,Non-Rail
"Ann Arbor, MI",2013,23.56,Non-Rail
"Ann Arbor, MI",2014,24.49,Non-Rail
"Ann Arbor, MI",2015,24.71,Non-Rail
"Ann Arbor, MI",2016,27.97,Non-Rail
"Ann Arbor, MI",2017,34.47,Non-Rail
"Ann Arbor, MI",2018,43.18,Non-Rail
"Ann Arbor, MI",2019,44.05,Non-Rail
"Ann Arbor, MI",2020,39.61,Non-Rail
"Ann Arbor, MI",2021,31.50,Non-Rail
"Antioch, CA",2011,36.75,Non-Rail
"Antioch, CA",2012,33.54,Non-Rail
"Antioch, CA",2013,33.08,Non-Rail
"Antioch, CA",2014,32.50,Non-Rail
"Antioch, CA",2015,36.50,Non-Rail
"Antioch, CA",2016,37.75,Non-Rail
"Antioch, CA",2017,39.00,Non-Rail
"Antioch, CA",2018,33.13,Non-Rail
"Antioch, CA",2019,30.22,Non-Rail
"Antioch, CA",2020,27.19,Non-Rail
"Antioch, CA",2021,26.89,Non-Rail
"Appleton, WI",2011,23.17,Non-Rail
"Appleton, WI",2012,23.69,Non-Rail
"Appleton, WI",2013,24.50,Non-Rail
"Appleton, WI",2014,24.53,Non-Rail
"Appleton, WI",2015,28.33,Non-Rail
"Appleton, WI",2016,24.67,Non-Rail
"Appleton, WI",2017,24.89,Non-Rail
"Appleton, WI",2018,24.67,Non-Rail
"Appleton, WI",2019,24.67,Non-Rail
"Appleton, WI",2020,19.78,Non-Rail
"Appleton, WI",2021,20.11,Non-Rail
"Asheville, NC",2011,10.67,Non-Rail
"Asheville, NC",2012,10.08,Non-Rail
"Asheville, NC",2013,16.40,Non-Rail
"Asheville, NC",2014,19.00,Non-Rail
"Asheville, NC",2015,18.00,Non-Rail
"Asheville, NC",2016,18.17,Non-Rail
"Asheville, NC",2017,17.33,Non-Rail
"Asheville, NC",2018,15.72,Non-Rail
"Asheville, NC",2019,16.64,Non-Rail
"Asheville, NC",2020,15.00,Non-Rail
"Asheville, NC",2021,14.00,Non-Rail
"Athens-Clarke County, GA",2011,16.17,Non-Rail
"Athens-Clarke County, GA",2012,17.08,Non-Rail
"Athens-Clarke County, GA",2013,16.73,Non-Rail
"Athens-Clarke County, GA",2014,16.56,Non-Rail
"Athens-Clarke County, GA",2015,18.10,Non-Rail
"Athens-Clarke County, GA",2016,18.35,Non-Rail
"Athens-Clarke County, GA",2017,18.77,Non-Rail
"Athens-Clarke County, GA",2018,19.73,Non-Rail
"Athens-Clarke County, GA",2019,20.42,Non-Rail
"Athens-Clarke County, GA",2020,17.98,Non-Rail
"Athens-Clarke County, GA",2021,21.78,Non-Rail
"Atlanta, GA",2011,111.28,Non-Rail
"Atlanta, GA",2011,180.33,Rail
"Atlanta, GA",2012,108.79,Non-Rail
"Atlanta, GA",2012,182.00,Rail
"Atlanta, GA",2013,102.52,Non-Rail
"Atlanta, GA",2013,182.00,Rail
"Atlanta, GA",2014,117.44,Non-Rail
"Atlanta, GA",2014,187.15,Rail
"Atlanta, GA",2015,97.72,Non-Rail
"Atlanta, GA",2015,104.54,Rail
"Atlanta, GA",2016,97.76,Non-Rail
"Atlanta, GA",2016,103.08,Rail
"Atlanta, GA",2017,95.63,Non-Rail
"Atlanta, GA",2017,103.42,Rail
"Atlanta, GA",2018,95.18,Non-Rail
"Atlanta, GA",2018,107.00,Rail
"Atlanta, GA",2019,94.47,Non-Rail
"Atlanta, GA",2019,107.00,Rail
"Atlanta, GA",2020,79.19,Non-Rail
"Atlanta, GA",2020,107.00,Rail
"Atlanta, GA",2021,72.69,Non-Rail
"Atlanta, GA",2021,107.00,Rail
"Atlantic City, NJ",2011,18.50,Non-Rail
"Atlantic City, NJ",2012,28.17,Non-Rail
"Atlantic City, NJ",2013,30.75,Non-Rail
"Atlantic City, NJ",2014,31.92,Non-Rail
"Atlantic City, NJ",2015,35.08,Non-Rail
"Atlantic City, NJ",2016,37.50,Non-Rail
"Atlantic City, NJ",2017,36.00,Non-Rail
"Atlantic City, NJ",2018,35.75,Non-Rail
"Atlantic City, NJ",2019,36.33,Non-Rail
"Atlantic City, NJ",2020,27.83,Non-Rail
"Atlantic City, NJ",2021,26.00,Non-Rail
"Auburn, AL",2011,22.50,Non-Rail
"Augusta-Richmond County, GA-SC",2011,8.75,Non-Rail
"Augusta-Richmond County, GA-SC",2012,9.50,Non-Rail
"Augusta-Richmond County, GA-SC",2013,9.50,Non-Rail
"Augusta-Richmond County, GA-SC",2014,9.54,Non-Rail
"Augusta-Richmond County, GA-SC",2015,9.75,Non-Rail
"Augusta-Richmond County, GA-SC",2016,9.50,Non-Rail
"Augusta-Richmond County, GA-SC",2017,9.50,Non-Rail
"Augusta-Richmond County, GA-SC",2018,9.50,Non-Rail
"Augusta-Richmond County, GA-SC",2019,9.50,Non-Rail
"Augusta-Richmond County, GA-SC",2020,9.50,Non-Rail
"Augusta-Richmond County, GA-SC",2021,8.83,Non-Rail
"Austin, TX",2011,130.05,Non-Rail
"Austin, TX",2011,4.00,Rail
"Austin, TX",2012,106.70,Non-Rail
"Austin, TX",2012,4.00,Rail
"Austin, TX",2013,125.72,Non-Rail
"Austin, TX",2013,4.00,Rail
"Austin, TX",2014,128.28,Non-Rail
"Austin, TX",2014,4.00,Rail
"Austin, TX",2015,130.68,Non-Rail
"Austin, TX",2015,4.00,Rail
"Austin, TX",2016,146.79,Non-Rail
"Austin, TX",2016,4.00,Rail
"Austin, TX",2017,179.85,Non-Rail
"Austin, TX",2017,4.00,Rail
"Austin, TX",2018,183.88,Non-Rail
"Austin, TX",2018,7.75,Rail
"Austin, TX",2019,189.27,Non-Rail
"Austin, TX",2019,12.00,Rail
"Austin, TX",2020,156.98,Non-Rail
"Austin, TX",2020,9.00,Rail
"Austin, TX",2021,153.18,Non-Rail
"Austin, TX",2021,8.00,Rail
"Bakersfield, CA",2011,43.00,Non-Rail
"Bakersfield, CA",2012,42.50,Non-Rail
"Bakersfield, CA",2013,38.63,Non-Rail
"Bakersfield, CA",2014,40.50,Non-Rail
"Bakersfield, CA",2015,40.75,Non-Rail
"Bakersfield, CA",2016,41.75,Non-Rail
"Bakersfield, CA",2017,43.00,Non-Rail
"Bakersfield, CA",2018,43.46,Non-Rail
"Bakersfield, CA",2019,44.25,Non-Rail
"Bakersfield, CA",2020,34.88,Non-Rail
"Bakersfield, CA",2021,32.33,Non-Rail
"Baltimore, MD",2011,145.66,Non-Rail
"Baltimore, MD",2011,74.67,Rail
"Baltimore, MD",2012,174.88,Non-Rail
"Baltimore, MD",2012,74.67,Rail
"Baltimore, MD",2013,179.38,Non-Rail
"Baltimore, MD",2013,74.50,Rail
"Baltimore, MD",2014,186.20,Non-Rail
"Baltimore, MD",2014,78.00,Rail
"Baltimore, MD",2015,152.80,Non-Rail
"Baltimore, MD",2015,78.00,Rail
"Baltimore, MD",2016,136.75,Non-Rail
"Baltimore, MD",2016,78.00,Rail
"Baltimore, MD",2017,128.05,Non-Rail
"Baltimore, MD",2017,80.06,Rail
"Baltimore, MD",2018,125.58,Non-Rail
"Baltimore, MD",2018,82.00,Rail
"Baltimore, MD",2019,133.35,Non-Rail
"Baltimore, MD",2019,80.33,Rail
"Baltimore, MD",2020,112.94,Non-Rail
"Baltimore, MD",2020,62.11,Rail
"Baltimore, MD",2021,116.45,Non-Rail
"Baltimore, MD",2021,100.00,Rail
"Bangor, ME",2011,6.61,Non-Rail
"Barnstable Town, MA",2011,44.50,Non-Rail
"Barnstable Town, MA",2012,46.00,Non-Rail
"Barnstable Town, MA",2013,30.13,Non-Rail
"Barnstable Town, MA",2014,54.79,Non-Rail
"Barnstable Town, MA",2015,57.21,Non-Rail
"Barnstable Town, MA",2016,60.67,Non-Rail
"Barnstable Town, MA",2017,64.32,Non-Rail
"Barnstable Town, MA",2018,64.50,Non-Rail
"Barnstable Town, MA",2019,66.20,Non-Rail
"Barnstable Town, MA",2020,55.13,Non-Rail
"Barnstable Town, MA",2021,59.64,Non-Rail
"Baton Rouge, LA",2011,29.50,Non-Rail
"Baton Rouge, LA",2012,30.50,Non-Rail
"Baton Rouge, LA",2013,34.00,Non-Rail
"Baton Rouge, LA",2014,36.75,Non-Rail
"Baton Rouge, LA",2015,37.83,Non-Rail
"Baton Rouge, LA",2016,38.58,Non-Rail
"Baton Rouge, LA",2017,37.00,Non-Rail
"Baton Rouge, LA",2018,38.46,Non-Rail
"Baton Rouge, LA",2019,40.00,Non-Rail
