UZAName,Year,Average of VOMS,Category
"Cedar Rapids, IA",2019,18.00,Non-Rail
"Cedar Rapids, IA",2020,17.61,Non-Rail
"Cedar Rapids, IA",2021,18.00,Non-Rail
"Champaign, IL",2011,32.39,Non-Rail
"Champaign, IL",2012,34.78,Non-Rail
"Champaign, IL",2013,36.67,Non-Rail
"Champaign, IL",2014,38.00,Non-Rail
"Champaign, IL",2015,38.31,Non-Rail
"Champaign, IL",2016,38.36,Non-Rail
"Champaign, IL",2017,37.39,Non-Rail
"Champaign, IL",2018,38.89,Non-Rail
"Champaign, IL",2019,41.36,Non-Rail
"Champaign, IL",2020,32.61,Non-Rail
"Champaign, IL",2021,33.89,Non-Rail
"Charleston, WV",2011,29.50,Non-Rail
"Charleston, WV",2012,29.50,Non-Rail
"Charleston, WV",2013,29.50,Non-Rail
"Charleston, WV",2014,29.25,Non-Rail
"Charleston, WV",2015,27.29,Non-Rail
"Charleston, WV",2016,23.38,Non-Rail
"Charleston, WV",2017,22.96,Non-Rail
"Charleston, WV",2018,22.13,Non-Rail
"Charleston, WV",2019,21.17,Non-Rail
"Charleston, WV",2020,20.25,Non-Rail
"Charleston, WV",2021,20.17,Non-Rail
"Charleston-North Charleston, SC",2011,52.00,Non-Rail
"Charleston-North Charleston, SC",2012,52.00,Non-Rail
"Charleston-North Charleston, SC",2013,46.00,Non-Rail
"Charleston-North Charleston, SC",2014,33.56,Non-Rail
"Charleston-North Charleston, SC",2015,32.58,Non-Rail
"Charleston-North Charleston, SC",2016,27.14,Non-Rail
"Charleston-North Charleston, SC",2017,25.31,Non-Rail
"Charleston-North Charleston, SC",2018,26.47,Non-Rail
"Charleston-North Charleston, SC",2019,27.44,Non-Rail
"Charleston-North Charleston, SC",2020,23.36,Non-Rail
"Charleston-North Charleston, SC",2021,24.44,Non-Rail
"Charlotte, NC-SC",2011,132.14,Non-Rail
"Charlotte, NC-SC",2011,14.00,Rail
"Charlotte, NC-SC",2012,133.14,Non-Rail
"Charlotte, NC-SC",2012,14.00,Rail
"Charlotte, NC-SC",2013,99.52,Non-Rail
"Charlotte, NC-SC",2013,14.00,Rail
"Charlotte, NC-SC",2014,99.75,Non-Rail
"Charlotte, NC-SC",2014,14.00,Rail
"Charlotte, NC-SC",2015,100.04,Non-Rail
"Charlotte, NC-SC",2015,10.00,Rail
"Charlotte, NC-SC",2016,88.12,Non-Rail
"Charlotte, NC-SC",2016,8.00,Rail
"Charlotte, NC-SC",2017,79.90,Non-Rail
"Charlotte, NC-SC",2017,8.00,Rail
"Charlotte, NC-SC",2018,76.89,Non-Rail
"Charlotte, NC-SC",2018,14.50,Rail
"Charlotte, NC-SC",2019,77.67,Non-Rail
"Charlotte, NC-SC",2019,24.67,Rail
"Charlotte, NC-SC",2020,62.17,Non-Rail
"Charlotte, NC-SC",2020,36.00,Rail
"Charlotte, NC-SC",2021,51.56,Non-Rail
"Charlotte, NC-SC",2021,36.00,Rail
"Charlottesville, VA",2011,35.96,Non-Rail
"Charlottesville, VA",2012,51.83,Non-Rail
"Charlottesville, VA",2013,52.92,Non-Rail
"Charlottesville, VA",2014,54.08,Non-Rail
"Charlottesville, VA",2015,55.58,Non-Rail
"Charlottesville, VA",2016,61.08,Non-Rail
"Charlottesville, VA",2017,64.50,Non-Rail
"Charlottesville, VA",2018,43.17,Non-Rail
"Charlottesville, VA",2019,36.50,Non-Rail
"Charlottesville, VA",2020,24.85,Non-Rail
"Chattanooga, TN-GA",2011,20.67,Non-Rail
"Chattanooga, TN-GA",2011,2.00,Rail
"Chattanooga, TN-GA",2012,21.00,Non-Rail
"Chattanooga, TN-GA",2012,2.00,Rail
"Chattanooga, TN-GA",2013,20.72,Non-Rail
"Chattanooga, TN-GA",2013,2.00,Rail
"Chattanooga, TN-GA",2014,21.22,Non-Rail
"Chattanooga, TN-GA",2014,2.00,Rail
"Chattanooga, TN-GA",2015,24.11,Non-Rail
"Chattanooga, TN-GA",2015,2.00,Rail
"Chattanooga, TN-GA",2016,25.89,Non-Rail
"Chattanooga, TN-GA",2016,2.00,Rail
"Chattanooga, TN-GA",2017,25.50,Non-Rail
"Chattanooga, TN-GA",2017,2.00,Rail
"Chattanooga, TN-GA",2018,29.20,Non-Rail
"Chattanooga, TN-GA",2018,2.00,Rail
"Chattanooga, TN-GA",2019,35.50,Non-Rail
"Chattanooga, TN-GA",2019,2.00,Rail
"Chattanooga, TN-GA",2020,36.00,Non-Rail
"Chattanooga, TN-GA",2020,2.00,Rail
"Chattanooga, TN-GA",2021,37.50,Non-Rail
"Chattanooga, TN-GA",2021,2.00,Rail
"Cheyenne, WY",2011,8.50,Non-Rail
"Chicago, IL-IN",2011,194.77,Non-Rail
"Chicago, IL-IN",2011,695.22,Rail
"Chicago, IL-IN",2012,187.28,Non-Rail
"Chicago, IL-IN",2012,697.22,Rail
"Chicago, IL-IN",2013,198.35,Non-Rail
"Chicago, IL-IN",2013,716.67,Rail
"Chicago, IL-IN",2014,203.35,Non-Rail
"Chicago, IL-IN",2014,734.44,Rail
"Chicago, IL-IN",2015,204.89,Non-Rail
"Chicago, IL-IN",2015,751.83,Rail
"Chicago, IL-IN",2016,199.27,Non-Rail
"Chicago, IL-IN",2016,753.28,Rail
"Chicago, IL-IN",2017,213.76,Non-Rail
"Chicago, IL-IN",2017,754.56,Rail
"Chicago, IL-IN",2018,342.20,Non-Rail
"Chicago, IL-IN",2018,756.00,Rail
"Chicago, IL-IN",2019,364.31,Non-Rail
"Chicago, IL-IN",2019,759.33,Rail
"Chicago, IL-IN",2020,303.99,Non-Rail
"Chicago, IL-IN",2020,571.00,Rail
"Chicago, IL-IN",2021,291.79,Non-Rail
"Chicago, IL-IN",2021,571.00,Rail
"Chico, CA",2011,23.00,Non-Rail
"Chico, CA",2012,23.17,Non-Rail
"Chico, CA",2013,23.50,Non-Rail
"Chico, CA",2014,23.42,Non-Rail
"Chico, CA",2015,23.25,Non-Rail
"Chico, CA",2016,23.42,Non-Rail
"Chico, CA",2017,23.67,Non-Rail
"Chico, CA",2018,23.58,Non-Rail
"Chico, CA",2019,21.58,Non-Rail
"Chico, CA",2020,19.21,Non-Rail
"Chico, CA",2021,18.50,Non-Rail
"Cincinnati, OH-KY-IN",2011,61.25,Non-Rail
"Cincinnati, OH-KY-IN",2012,54.98,Non-Rail
"Cincinnati, OH-KY-IN",2013,53.59,Non-Rail
"Cincinnati, OH-KY-IN",2014,52.61,Non-Rail
"Cincinnati, OH-KY-IN",2015,52.09,Non-Rail
"Cincinnati, OH-KY-IN",2016,52.65,Non-Rail
"Cincinnati, OH-KY-IN",2016,3.00,Rail
"Cincinnati, OH-KY-IN",2017,53.03,Non-Rail
"Cincinnati, OH-KY-IN",2017,3.00,Rail
"Cincinnati, OH-KY-IN",2018,52.73,Non-Rail
"Cincinnati, OH-KY-IN",2018,3.00,Rail
"Cincinnati, OH-KY-IN",2019,68.39,Non-Rail
"Cincinnati, OH-KY-IN",2019,3.00,Rail
"Cincinnati, OH-KY-IN",2020,47.45,Non-Rail
"Cincinnati, OH-KY-IN",2020,3.00,Rail
"Cincinnati, OH-KY-IN",2021,53.12,Non-Rail
"Cincinnati, OH-KY-IN",2021,3.00,Rail
"Clarksville, TN-KY",2011,11.88,Non-Rail
"Clarksville, TN-KY",2012,11.88,Non-Rail
"Clarksville, TN-KY",2013,12.00,Non-Rail
"Clarksville, TN-KY",2014,12.42,Non-Rail
"Cleveland, OH",2011,71.39,Non-Rail
"Cleveland, OH",2011,16.92,Rail
"Cleveland, OH",2012,49.53,Non-Rail
"Cleveland, OH",2012,17.17,Rail
"Cleveland, OH",2013,50.22,Non-Rail
"Cleveland, OH",2013,16.54,Rail
"Cleveland, OH",2014,55.44,Non-Rail
"Cleveland, OH",2014,16.58,Rail
"Cleveland, OH",2015,55.14,Non-Rail
"Cleveland, OH",2015,16.54,Rail
"Cleveland, OH",2016,55.49,Non-Rail
"Cleveland, OH",2016,16.50,Rail
"Cleveland, OH",2017,49.52,Non-Rail
"Cleveland, OH",2017,16.50,Rail
"Cleveland, OH",2018,48.80,Non-Rail
"Cleveland, OH",2018,16.50,Rail
"Cleveland, OH",2019,47.99,Non-Rail
"Cleveland, OH",2019,16.50,Rail
"Cleveland, OH",2020,43.52,Non-Rail
"Cleveland, OH",2020,10.83,Rail
"Cleveland, OH",2021,24.57,Non-Rail
"Cleveland, TN",2011,6.63,Non-Rail
"Coeur d'Alene, ID",2011,3.00,Non-Rail
"College Station-Bryan, TX",2011,34.00,Non-Rail
"College Station-Bryan, TX",2012,39.33,Non-Rail
"College Station-Bryan, TX",2013,39.33,Non-Rail
"College Station-Bryan, TX",2014,39.33,Non-Rail
"College Station-Bryan, TX",2015,41.29,Non-Rail
"College Station-Bryan, TX",2016,37.50,Non-Rail
"College Station-Bryan, TX",2017,37.50,Non-Rail
"College Station-Bryan, TX",2018,37.58,Non-Rail
"College Station-Bryan, TX",2019,36.71,Non-Rail
"College Station-Bryan, TX",2020,32.50,Non-Rail
"College Station-Bryan, TX",2021,32.50,Non-Rail
"Colorado Springs, CO",2011,53.11,Non-Rail
"Colorado Springs, CO",2012,50.42,Non-Rail
"Colorado Springs, CO",2013,46.36,Non-Rail
"Colorado Springs, CO",2014,47.64,Non-Rail
"Colorado Springs, CO",2015,38.27,Non-Rail
"Colorado Springs, CO",2016,37.54,Non-Rail
"Colorado Springs, CO",2017,36.79,Non-Rail
"Colorado Springs, CO",2018,39.67,Non-Rail
"Colorado Springs, CO",2019,31.13,Non-Rail
"Colorado Springs, CO",2020,25.70,Non-Rail
"Colorado Springs, CO",2021,24.30,Non-Rail
"Columbia, MO",2011,17.13,Non-Rail
"Columbia, MO",2012,17.33,Non-Rail
"Columbia, MO",2013,16.04,Non-Rail
"Columbia, MO",2014,17.17,Non-Rail
"Columbia, MO",2015,17.75,Non-Rail
"Columbia, MO",2016,17.46,Non-Rail
"Columbia, MO",2017,16.96,Non-Rail
"Columbia, MO",2018,15.88,Non-Rail
"Columbia, MO",2019,13.79,Non-Rail
"Columbia, MO",2020,8.58,Non-Rail
"Columbia, MO",2021,7.00,Non-Rail
"Columbia, SC",2011,28.92,Non-Rail
"Columbia, SC",2012,20.50,Non-Rail
"Columbia, SC",2013,20.08,Non-Rail
"Columbia, SC",2014,22.50,Non-Rail
"Columbia, SC",2015,24.50,Non-Rail
"Columbia, SC",2016,26.67,Non-Rail
"Columbia, SC",2017,28.42,Non-Rail
"Columbia, SC",2018,31.32,Non-Rail
"Columbia, SC",2019,26.67,Non-Rail
"Columbia, SC",2020,24.69,Non-Rail
"Columbia, SC",2021,29.50,Non-Rail
"Columbus, GA-AL",2011,11.00,Non-Rail
"Columbus, OH",2011,151.67,Non-Rail
"Columbus, OH",2012,161.54,Non-Rail
"Columbus, OH",2013,73.47,Non-Rail
"Columbus, OH",2014,78.35,Non-Rail
"Columbus, OH",2015,80.38,Non-Rail
"Columbus, OH",2016,81.12,Non-Rail
"Columbus, OH",2017,79.65,Non-Rail
"Columbus, OH",2018,72.87,Non-Rail
"Columbus, OH",2019,74.05,Non-Rail
"Columbus, OH",2020,84.12,Non-Rail
"Columbus, OH",2021,89.00,Non-Rail
"Concord, CA",2011,50.17,Non-Rail
"Concord, CA",2012,49.65,Non-Rail
"Concord, CA",2013,51.31,Non-Rail
"Concord, CA",2014,51.29,Non-Rail
"Concord, CA",2015,50.35,Non-Rail
"Concord, CA",2016,49.10,Non-Rail
"Concord, CA",2017,48.83,Non-Rail
"Concord, CA",2018,44.89,Non-Rail
"Concord, CA",2019,40.22,Non-Rail
"Concord, CA",2020,25.93,Non-Rail
"Concord, CA",2021,24.27,Non-Rail
"Conroe-The Woodlands, TX",2015,32.00,Non-Rail
"Conroe-The Woodlands, TX",2016,16.00,Non-Rail
"Conroe-The Woodlands, TX",2017,16.50,Non-Rail
"Conroe-The Woodlands, TX",2018,16.88,Non-Rail
"Conroe-The Woodlands, TX",2019,17.00,Non-Rail
"Conroe-The Woodlands, TX",2020,13.36,Non-Rail
"Conroe-The Woodlands, TX",2021,14.20,Non-Rail
"Corpus Christi, TX",2011,14.36,Non-Rail
"Corpus Christi, TX",2012,17.81,Non-Rail
"Corpus Christi, TX",2013,18.56,Non-Rail
"Corpus Christi, TX",2014,19.57,Non-Rail
"Corpus Christi, TX",2015,17.62,Non-Rail
"Corpus Christi, TX",2016,20.17,Non-Rail
"Corpus Christi, TX",2017,20.25,Non-Rail
"Corpus Christi, TX",2018,20.95,Non-Rail
"Corpus Christi, TX",2019,23.82,Non-Rail
"Corpus Christi, TX",2020,19.72,Non-Rail
"Corpus Christi, TX",2021,18.87,Non-Rail
"Corvallis, OR",2011,6.00,Non-Rail
"Corvallis, OR",2012,6.17,Non-Rail
"Corvallis, OR",2013,8.00,Non-Rail
"Corvallis, OR",2014,11.00,Non-Rail
"Corvallis, OR",2015,11.00,Non-Rail
"Corvallis, OR",2016,11.00,Non-Rail
"Corvallis, OR",2017,11.00,Non-Rail
"Corvallis, OR",2018,11.00,Non-Rail
"Cumberland, MD-WV-PA",2011,7.83,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2011,78.18,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2011,78.75,Rail
"Dallas-Fort Worth-Arlington, TX",2012,104.18,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2012,61.75,Rail
"Dallas-Fort Worth-Arlington, TX",2013,99.73,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2013,43.89,Rail
"Dallas-Fort Worth-Arlington, TX",2014,104.03,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2014,42.97,Rail
"Dallas-Fort Worth-Arlington, TX",2015,87.92,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2015,34.73,Rail
"Dallas-Fort Worth-Arlington, TX",2016,87.71,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2016,32.98,Rail
"Dallas-Fort Worth-Arlington, TX",2017,89.44,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2017,33.69,Rail
"Dallas-Fort Worth-Arlington, TX",2018,99.77,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2018,34.29,Rail
"Dallas-Fort Worth-Arlington, TX",2019,98.06,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2019,29.52,Rail
"Dallas-Fort Worth-Arlington, TX",2020,79.80,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2020,28.43,Rail
"Dallas-Fort Worth-Arlington, TX",2021,79.05,Non-Rail
"Dallas-Fort Worth-Arlington, TX",2021,24.80,Rail
"Danbury, CT-NY",2011,25.13,Non-Rail
"Danbury, CT-NY",2012,19.67,Non-Rail
"Danbury, CT-NY",2013,20.50,Non-Rail
"Danbury, CT-NY",2014,19.50,Non-Rail
"Danbury, CT-NY",2015,20.42,Non-Rail
"Danbury, CT-NY",2016,21.00,Non-Rail
"Danbury, CT-NY",2017,21.00,Non-Rail
"Danbury, CT-NY",2018,21.00,Non-Rail
"Danbury, CT-NY",2019,21.50,Non-Rail
"Danbury, CT-NY",2020,21.50,Non-Rail
"Danbury, CT-NY",2021,21.50,Non-Rail
"Danville, IL-IN",2011,5.00,Non-Rail
"Danville, IL-IN",2012,6.00,Non-Rail
"Danville, IL-IN",2013,6.00,Non-Rail
"Daphne-Fairhope, AL",2015,19.00,Non-Rail
"Daphne-Fairhope, AL",2016,20.52,Non-Rail
"Daphne-Fairhope, AL",2017,35.75,Non-Rail
"Daphne-Fairhope, AL",2018,34.92,Non-Rail
"Daphne-Fairhope, AL",2019,34.08,Non-Rail
"Daphne-Fairhope, AL",2020,22.75,Non-Rail
"Daphne-Fairhope, AL",2021,25.00,Non-Rail
"Davenport, IA-IL",2011,10.44,Non-Rail
"Davenport, IA-IL",2012,15.42,Non-Rail
"Davenport, IA-IL",2013,15.18,Non-Rail
"Davenport, IA-IL",2014,14.68,Non-Rail
"Davenport, IA-IL",2015,15.23,Non-Rail
"Davenport, IA-IL",2016,16.47,Non-Rail
"Davenport, IA-IL",2017,17.79,Non-Rail
"Davenport, IA-IL",2018,17.09,Non-Rail
"Davenport, IA-IL",2019,17.16,Non-Rail
"Davenport, IA-IL",2020,12.69,Non-Rail
"Davenport, IA-IL",2021,14.56,Non-Rail
"Davis, CA",2011,33.50,Non-Rail
"Davis, CA",2012,33.50,Non-Rail
"Davis, CA",2013,33.50,Non-Rail
"Davis, CA",2014,31.67,Non-Rail
"Davis, CA",2015,33.17,Non-Rail
"Davis, CA",2016,32.92,Non-Rail
"Davis, CA",2017,30.67,Non-Rail
"Davis, CA",2018,32.17,Non-Rail
"Davis, CA",2019,32.83,Non-Rail
"Davis, CA",2020,21.33,Non-Rail
"Davis, CA",2021,21.00,Non-Rail
"Dayton, OH",2011,45.58,Non-Rail
"Dayton, OH",2012,44.58,Non-Rail
"Dayton, OH",2013,42.27,Non-Rail
"Dayton, OH",2014,44.10,Non-Rail
"Dayton, OH",2015,44.62,Non-Rail
"Dayton, OH",2016,45.25,Non-Rail
"Dayton, OH",2017,45.32,Non-Rail
"Dayton, OH",2018,45.47,Non-Rail
"Dayton, OH",2019,41.70,Non-Rail
"Dayton, OH",2020,36.78,Non-Rail
"Dayton, OH",2021,35.13,Non-Rail
"Decatur, AL",2011,30.00,Non-Rail
"Decatur, AL",2016,36.00,Non-Rail
"Decatur, AL",2017,35.92,Non-Rail
"Decatur, AL",2018,36.75,Non-Rail
"Decatur, AL",2019,39.00,Non-Rail
"Decatur, AL",2020,39.00,Non-Rail
"Decatur, AL",2021,39.00,Non-Rail
"Decatur, IL",2011,9.88,Non-Rail
"Decatur, IL",2012,10.44,Non-Rail
"Decatur, IL",2013,10.86,Non-Rail
"Decatur, IL",2014,11.03,Non-Rail
"Decatur, IL",2015,10.69,Non-Rail
"Decatur, IL",2016,10.28,Non-Rail
"Decatur, IL",2017,9.14,Non-Rail
"Decatur, IL",2018,8.50,Non-Rail
"Decatur, IL",2019,11.16,Non-Rail
"Decatur, IL",2020,10.79,Non-Rail
"Decatur, IL",2021,10.83,Non-Rail
"DeKalb, IL",2011,22.00,Non-Rail
"DeKalb, IL",2012,22.00,Non-Rail
"DeKalb, IL",2019,15.83,Non-Rail
"DeKalb, IL",2020,15.17,Non-Rail
"DeKalb, IL",2021,15.33,Non-Rail
"Denton-Lewisville, TX",2011,21.74,Non-Rail
"Denton-Lewisville, TX",2011,8.00,Rail
"Denton-Lewisville, TX",2012,18.11,Non-Rail
"Denton-Lewisville, TX",2012,8.00,Rail
"Denton-Lewisville, TX",2013,21.92,Non-Rail
"Denton-Lewisville, TX",2013,8.00,Rail
"Denton-Lewisville, TX",2014,24.22,Non-Rail
"Denton-Lewisville, TX",2014,8.00,Rail
"Denton-Lewisville, TX",2015,28.94,Non-Rail
"Denton-Lewisville, TX",2015,8.00,Rail
"Denton-Lewisville, TX",2016,32.53,Non-Rail
"Denton-Lewisville, TX",2016,8.00,Rail
"Denton-Lewisville, TX",2017,25.87,Non-Rail
"Denton-Lewisville, TX",2017,5.25,Rail
"Denton-Lewisville, TX",2018,23.73,Non-Rail
"Denton-Lewisville, TX",2018,5.00,Rail
"Denton-Lewisville, TX",2019,25.19,Non-Rail
"Denton-Lewisville, TX",2019,8.00,Rail
"Denton-Lewisville, TX",2020,23.79,Non-Rail
"Denton-Lewisville, TX",2020,6.67,Rail
"Denton-Lewisville, TX",2021,27.92,Non-Rail
"Denton-Lewisville, TX",2021,6.00,Rail
"Denver-Aurora, CO",2011,250.12,Non-Rail
"Denver-Aurora, CO",2011,154.00,Rail
"Denver-Aurora, CO",2012,256.83,Non-Rail
"Denver-Aurora, CO",2012,102.00,Rail
"Denver-Aurora, CO",2013,258.30,Non-Rail
"Denver-Aurora, CO",2013,139.00,Rail
"Denver-Aurora, CO",2014,274.90,Non-Rail
"Denver-Aurora, CO",2014,143.00,Rail
"Denver-Aurora, CO",2015,343.44,Non-Rail
"Denver-Aurora, CO",2015,143.00,Rail
"Denver-Aurora, CO",2016,351.00,Non-Rail
"Denver-Aurora, CO",2016,87.71,Rail
"Denver-Aurora, CO",2017,352.10,Non-Rail
"Denver-Aurora, CO",2017,88.83,Rail
"Denver-Aurora, CO",2018,341.69,Non-Rail
"Denver-Aurora, CO",2018,91.50,Rail
"Denver-Aurora, CO",2019,340.90,Non-Rail
"Denver-Aurora, CO",2019,99.33,Rail
"Denver-Aurora, CO",2020,216.81,Non-Rail
"Denver-Aurora, CO",2020,64.36,Rail
"Denver-Aurora, CO",2021,159.50,Non-Rail
"Denver-Aurora, CO",2021,46.00,Rail
"Des Moines, IA",2011,55.83,Non-Rail
"Des Moines, IA",2012,54.67,Non-Rail
"Des Moines, IA",2013,53.21,Non-Rail
"Des Moines, IA",2014,52.00,Non-Rail
"Des Moines, IA",2015,51.77,Non-Rail
"Des Moines, IA",2016,50.63,Non-Rail
"Des Moines, IA",2017,52.23,Non-Rail
"Des Moines, IA",2018,52.94,Non-Rail
"Des Moines, IA",2019,49.75,Non-Rail
"Des Moines, IA",2020,34.65,Non-Rail
"Des Moines, IA",2021,35.92,Non-Rail
"Detroit, MI",2011,161.61,Non-Rail
"Detroit, MI",2012,152.51,Non-Rail
"Detroit, MI",2012,10.00,Rail
"Detroit, MI",2013,153.22,Non-Rail
"Detroit, MI",2013,10.00,Rail
"Detroit, MI",2014,158.97,Non-Rail
"Detroit, MI",2014,10.00,Rail
"Detroit, MI",2015,162.77,Non-Rail
"Detroit, MI",2015,8.17,Rail
"Detroit, MI",2016,172.80,Non-Rail
"Detroit, MI",2016,10.00,Rail
"Detroit, MI",2017,182.17,Non-Rail
"Detroit, MI",2017,8.00,Rail
"Detroit, MI",2018,171.04,Non-Rail
"Detroit, MI",2018,7.00,Rail
"Detroit, MI",2019,174.85,Non-Rail
"Detroit, MI",2019,6.25,Rail
"Detroit, MI",2020,144.72,Non-Rail
"Detroit, MI",2020,5.50,Rail
"Detroit, MI",2021,126.88,Non-Rail
"Dothan, AL",2011,17.50,Non-Rail
"Dothan, AL",2012,16.83,Non-Rail
"Dothan, AL",2013,15.47,Non-Rail
"Dothan, AL",2014,14.56,Non-Rail
"Dothan, AL",2015,14.19,Non-Rail
"Dothan, AL",2016,13.25,Non-Rail
"Dothan, AL",2017,13.67,Non-Rail
"Dover-Rochester, NH-ME",2011,9.71,Non-Rail
"Dover-Rochester, NH-ME",2012,10.60,Non-Rail
"Dover-Rochester, NH-ME",2013,15.17,Non-Rail
"Dover-Rochester, NH-ME",2014,16.83,Non-Rail
"Dover-Rochester, NH-ME",2015,13.19,Non-Rail
"Dover-Rochester, NH-ME",2016,11.77,Non-Rail
"Dover-Rochester, NH-ME",2017,10.50,Non-Rail
"Dover-Rochester, NH-ME",2018,10.63,Non-Rail
"Dover-Rochester, NH-ME",2019,11.46,Non-Rail
"Dover-Rochester, NH-ME",2020,11.30,Non-Rail
"Dover-Rochester, NH-ME",2021,11.00,Non-Rail
"Dubuque, IA-IL",2011,10.25,Non-Rail
"Duluth, MN-WI",2011,26.00,Non-Rail
"Duluth, MN-WI",2012,26.00,Non-Rail
"Duluth, MN-WI",2013,26.38,Non-Rail
"Duluth, MN-WI",2014,28.42,Non-Rail
"Duluth, MN-WI",2015,27.00,Non-Rail
"Duluth, MN-WI",2016,28.21,Non-Rail
"Duluth, MN-WI",2017,29.79,Non-Rail
"Duluth, MN-WI",2018,32.71,Non-Rail
"Duluth, MN-WI",2019,32.00,Non-Rail
"Duluth, MN-WI",2020,28.67,Non-Rail
"Duluth, MN-WI",2021,29.33,Non-Rail
"Durham, NC",2011,39.75,Non-Rail
"Durham, NC",2012,36.49,Non-Rail
"Durham, NC",2013,37.77,Non-Rail
"Durham, NC",2014,37.34,Non-Rail
"Durham, NC",2015,38.48,Non-Rail
"Durham, NC",2016,39.82,Non-Rail
"Durham, NC",2017,39.51,Non-Rail
"Durham, NC",2018,38.81,Non-Rail
"Durham, NC",2019,34.79,Non-Rail
"Durham, NC",2020,27.49,Non-Rail
"Durham, NC",2021,27.67,Non-Rail
"East Stroudsburg, PA-NJ",2013,12.67,Non-Rail
"East Stroudsburg, PA-NJ",2014,13.00,Non-Rail
"East Stroudsburg, PA-NJ",2015,13.19,Non-Rail
"East Stroudsburg, PA-NJ",2016,12.86,Non-Rail
"East Stroudsburg, PA-NJ",2017,12.92,Non-Rail
"East Stroudsburg, PA-NJ",2018,12.53,Non-Rail
"East Stroudsburg, PA-NJ",2019,16.54,Non-Rail
"East Stroudsburg, PA-NJ",2020,12.58,Non-Rail
"East Stroudsburg, PA-NJ",2021,12.00,Non-Rail
"Eau Claire, WI",2011,20.33,Non-Rail
"Eau Claire, WI",2012,23.04,Non-Rail
"Eau Claire, WI",2013,23.92,Non-Rail
"Eau Claire, WI",2014,23.54,Non-Rail
"Eau Claire, WI",2015,24.21,Non-Rail
"Eau Claire, WI",2016,24.63,Non-Rail
"Eau Claire, WI",2017,24.58,Non-Rail
"Eau Claire, WI",2018,24.63,Non-Rail
"Eau Claire, WI",2019,24.54,Non-Rail
"Eau Claire, WI",2020,24.67,Non-Rail
"Eau Claire, WI",2021,22.33,Non-Rail
"El Centro-Calexico, CA",2011,11.25,Non-Rail
"El Centro-Calexico, CA",2012,10.50,Non-Rail
"El Centro-Calexico, CA",2013,11.75,Non-Rail
"El Centro-Calexico, CA",2014,12.92,Non-Rail
"El Centro-Calexico, CA",2015,13.00,Non-Rail
"El Centro-Calexico, CA",2016,13.00,Non-Rail
"El Centro-Calexico, CA",2017,13.50,Non-Rail
"El Centro-Calexico, CA",2018,14.00,Non-Rail
"El Centro-Calexico, CA",2019,14.00,Non-Rail
"El Centro-Calexico, CA",2020,9.25,Non-Rail
"El Centro-Calexico, CA",2021,7.50,Non-Rail
"El Paso, TX-NM",2011,76.89,Non-Rail
"El Paso, TX-NM",2012,69.10,Non-Rail
"El Paso, TX-NM",2013,82.53,Non-Rail
"El Paso, TX-NM",2014,82.94,Non-Rail
"El Paso, TX-NM",2015,86.73,Non-Rail
"El Paso, TX-NM",2016,92.29,Non-Rail
"El Paso, TX-NM",2017,97.50,Non-Rail
"El Paso, TX-NM",2018,92.42,Non-Rail
"El Paso, TX-NM",2018,4.00,Rail
"El Paso, TX-NM",2019,92.67,Non-Rail
"El Paso, TX-NM",2019,4.00,Rail
"El Paso, TX-NM",2020,82.54,Non-Rail
"El Paso, TX-NM",2020,4.00,Rail
"El Paso, TX-NM",2021,76.00,Non-Rail
"Elizabethtown-Radcliff, KY",2011,28.58,Non-Rail
"Elizabethtown-Radcliff, KY",2012,22.44,Non-Rail
"Elizabethtown-Radcliff, KY",2013,19.17,Non-Rail
"Elizabethtown-Radcliff, KY",2014,17.64,Non-Rail
"Elizabethtown-Radcliff, KY",2015,17.58,Non-Rail
"Elizabethtown-Radcliff, KY",2016,18.58,Non-Rail
"Elizabethtown-Radcliff, KY",2017,19.03,Non-Rail
"Elizabethtown-Radcliff, KY",2018,18.56,Non-Rail
"Elizabethtown-Radcliff, KY",2019,15.81,Non-Rail
"Elizabethtown-Radcliff, KY",2020,13.07,Non-Rail
"Elizabethtown-Radcliff, KY",2021,13.00,Non-Rail
"Elkhart, IN-MI",2011,13.00,Non-Rail
"Elkhart, IN-MI",2012,12.63,Non-Rail
"Elkhart, IN-MI",2013,9.33,Non-Rail
"Elkhart, IN-MI",2014,7.17,Non-Rail
"Elkhart, IN-MI",2015,7.79,Non-Rail
"Elkhart, IN-MI",2016,8.00,Non-Rail
"Elkhart, IN-MI",2017,8.00,Non-Rail
"Elkhart, IN-MI",2018,8.71,Non-Rail
"Elkhart, IN-MI",2019,9.00,Non-Rail
"Elkhart, IN-MI",2020,8.42,Non-Rail
"Elkhart, IN-MI",2021,7.83,Non-Rail
"Elmira, NY",2011,11.00,Non-Rail
